 time            com             in              mid             out             time            vcom#branch     vin#branch     
 8.40265599e-03  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  8.40265599e-03  0.00000000e+00  0.00000000e+00 
 8.80265599e-03  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  8.80265599e-03  0.00000000e+00  0.00000000e+00 
 9.20265599e-03  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  9.20265599e-03  0.00000000e+00  0.00000000e+00 
 9.60265599e-03  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  9.60265599e-03  0.00000000e+00  0.00000000e+00 
 1.00026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.00026560e-02  0.00000000e+00  0.00000000e+00 
 1.04026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.04026560e-02  0.00000000e+00  0.00000000e+00 
 1.08026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.08026560e-02  0.00000000e+00  0.00000000e+00 
 1.12026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.12026560e-02  0.00000000e+00  0.00000000e+00 
 1.16026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.16026560e-02  0.00000000e+00  0.00000000e+00 
 1.20026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.20026560e-02  0.00000000e+00  0.00000000e+00 
 1.24026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.24026560e-02  0.00000000e+00  0.00000000e+00 
 1.28026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.28026560e-02  0.00000000e+00  0.00000000e+00 
 1.32026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.32026560e-02  0.00000000e+00  0.00000000e+00 
 1.36026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.36026560e-02  0.00000000e+00  0.00000000e+00 
 1.40026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.40026560e-02  0.00000000e+00  0.00000000e+00 
 1.44026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.44026560e-02  0.00000000e+00  0.00000000e+00 
 1.48026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.48026560e-02  0.00000000e+00  0.00000000e+00 
 1.52026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.52026560e-02  0.00000000e+00  0.00000000e+00 
 1.56026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.56026560e-02  0.00000000e+00  0.00000000e+00 
 1.60026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.60026560e-02  0.00000000e+00  0.00000000e+00 
 1.64026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.64026560e-02  0.00000000e+00  0.00000000e+00 
 1.68026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.68026560e-02  0.00000000e+00  0.00000000e+00 
 1.72026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.72026560e-02  0.00000000e+00  0.00000000e+00 
 1.76026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.76026560e-02  0.00000000e+00  0.00000000e+00 
 1.80026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.80026560e-02  0.00000000e+00  0.00000000e+00 
 1.84026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.84026560e-02  0.00000000e+00  0.00000000e+00 
 1.88026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.88026560e-02  0.00000000e+00  0.00000000e+00 
 1.92026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.92026560e-02  0.00000000e+00  0.00000000e+00 
 1.96026560e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  1.96026560e-02  0.00000000e+00  0.00000000e+00 
 2.00000000e-02  0.00000000e+00  1.00000000e+01  0.00000000e+00  0.00000000e+00  2.00000000e-02  0.00000000e+00  0.00000000e+00 
